#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:mbd_twin_evidence" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:mbd_twin_evidence" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:mbd_twin_evidence" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.mbd_twin_evidence" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:mbd_twin_evidence" name="distribution" x="@birthRate.t:mbd_twin_evidence">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:mbd_twin_evidence" name="distribution">
#            <parameter id="kappa.s:mbd_twin_evidence" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ClockPrior.c:mbd_twin_evidence" name="distribution">
#            <parameter id="clockRate.c:mbd_twin_evidence" name="x" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <Uniform id="Uniform.150" name="distr" upper="Infinity"/>
#        </prior>
#        <distribution id="auto_name_1.prior" monophyletic="true" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:mbd_twin_evidence">
#            <taxonset id="auto_name_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="t12" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t17" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t19" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t7" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t14" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t20" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="t21" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Normal id="Normal.151" name="distr">
#                <parameter estimate="false" id="RealParameter.300" name="mean" spec="beast.core.parameter.RealParameter">8.0</parameter>
#                <parameter estimate="false" id="RealParameter.301" name="sigma" spec="beast.core.parameter.RealParameter">1.0E-4</parameter>
#            </Normal>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@mbd_twin_evidence" id="treeLikelihood.mbd_twin_evidence" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:mbd_twin_evidence">
#            <siteModel id="SiteModel.s:mbd_twin_evidence" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:mbd_twin_evidence" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:mbd_twin_evidence" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:mbd_twin_evidence" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:mbd_twin_evidence" kappa="@kappa.s:mbd_twin_evidence" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:mbd_twin_evidence" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:mbd_twin_evidence" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:mbd_twin_evidence" id="StrictClock.c:mbd_twin_evidence" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	NSlikelihood	posterior	likelihood	prior	treeLikelihood.mbd_twin_evidence	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	YuleModel	birthRate	logP(mrca(auto_name_1))	mrca.age(auto_name_1)	clockRate
0	-12473.0043402938	-12855.241131218772	-12473.0043402938	-382.23679092497156	-12473.0043402938	8.002718859036673	0.9097671862269308	0.2478958736467904	0.23833432511157107	0.2616656748884289	0.2521041263532096	-19.487569866481092	0.23350725769988712	-361.318321226064	8.002718859036673	3.670027753741366
1	-12472.932505252289	-12490.331573069061	-12472.932505252289	-17.399067816772085	-12472.932505252289	8.000308342922297	0.6641172515909776	0.244885322076125	0.2395057511888006	0.2646762264590943	0.2509327002759801	-19.568358870531615	0.27033439756630095	3.5376339522326523	8.000308342922297	1134.2444902053485
2	-12472.932505252287	-12490.385526743436	-12472.932505252287	-17.453021491148306	-12472.932505252287	8.000308342922297	1.253352160137809	0.244885322076125	0.2395057511888006	0.2646762264590943	0.2509327002759801	-19.430959011042507	0.20845308312824784	3.5376339522326523	8.000308342922297	1249.5964708869897
3	-12472.804021932236	-12492.443237998843	-12472.804021932236	-19.63921606660669	-12472.804021932236	8.000308342922297	0.6936635042470035	0.24678541249277614	0.2395057511888006	0.2622960742062577	0.25141276211216546	-21.803632858581704	0.16215292843618084	3.5376339522326523	8.000308342922297	5284.17464484363
4	-12472.804021932236	-12492.443237998843	-12472.804021932236	-19.63921606660669	-12472.804021932236	8.000308342922297	0.6936635042470035	0.24678541249277614	0.2395057511888006	0.2622960742062577	0.25141276211216546	-21.803632858581704	0.16215292843618084	3.5376339522326523	8.000308342922297	5284.17464484363
5	-12472.804021932232	-12488.82641772406	-12472.804021932232	-16.02239579182706	-12472.804021932232	8.000308342922297	0.9692436668496338	0.24678541249277614	0.2395057511888006	0.2622960742062577	0.25141276211216546	-18.108881499922447	0.4015556416586771	3.5376339522326523	8.000308342922297	9778.921330337034
6	-12472.784788361832	-12492.038048408785	-12472.784788361832	-19.25326004695307	-12472.784788361832	8.000308342922297	1.6066702055970905	0.24658271327080272	0.2395057511888006	0.2622960742062577	0.2516154613341389	-21.086166899817215	0.4097339689705239	3.5376339522326523	8.000308342922297	66414.75424453779
7	-12472.728151313398	-12487.821518641893	-12472.728151313398	-15.09336732849523	-12472.728151313398	8.000308342922297	1.721368927060572	0.24505827219533982	0.2428411295768046	0.25896069581825376	0.2531399024096018	-16.879002706778234	0.4110536071122979	3.5376339522326523	8.000308342922297	19091.448049275827
8	-12472.69490377447	-12492.25887359799	-12472.69490377447	-19.563969823519	-12472.69490377447	8.000308342922297	0.4584630454685495	0.24459926174155439	0.2428411295768046	0.2594197062720392	0.2531399024096018	-21.725651004250096	0.21765774787445838	3.5376339522326523	8.000308342922297	43605.69274720882
9	-12472.69490377447	-12492.25887359799	-12472.69490377447	-19.563969823519	-12472.69490377447	8.000308342922297	0.4584630454685495	0.24459926174155439	0.2428411295768046	0.2594197062720392	0.2531399024096018	-21.725651004250096	0.21765774787445838	3.5376339522326523	8.000308342922297	43605.69274720882
10	-12472.663246476523	-12489.98041418182	-12472.663246476523	-17.317167705296995	-12472.663246476523	8.000308342922297	0.22846217365202603	0.24459926174155439	0.2424862083413977	0.25977462750744607	0.2531399024096018	-19.226710338887948	0.33747905403950973	3.5376339522326523	8.000308342922297	510688.88168518187
11	-12472.663246476523	-12489.98041418182	-12472.663246476523	-17.317167705296995	-12472.663246476523	8.000308342922297	0.22846217365202603	0.24459926174155439	0.2424862083413977	0.25977462750744607	0.2531399024096018	-19.226710338887948	0.33747905403950973	3.5376339522326523	8.000308342922297	510688.88168518187
12	-12472.622993150975	-12494.93101702232	-12472.622993150975	-22.30802387134418	-12472.622993150975	8.000308342922297	0.3138487698515938	0.24459926174155439	0.24131572251520705	0.26094511333363674	0.2531399024096018	-24.37102535294224	0.5222375933541383	3.5376339522326523	8.000308342922297	302918.9505053111
13	-12472.622993150973	-12492.016629162597	-12472.622993150973	-19.3936360116242	-12472.622993150973	8.000308342922297	0.20359788092301107	0.24459926174155439	0.24131572251520705	0.26094511333363674	0.2531399024096018	-21.23153736609298	0.23409272155288421	3.5376339522326523	8.000308342922297	315648.1171534394
14	-12472.622993150973	-12492.016629162597	-12472.622993150973	-19.3936360116242	-12472.622993150973	8.000308342922297	0.20359788092301107	0.24459926174155439	0.24131572251520705	0.26094511333363674	0.2531399024096018	-21.23153736609298	0.23409272155288421	3.5376339522326523	8.000308342922297	315648.1171534394
15	-12472.622993150973	-12492.016629162597	-12472.622993150973	-19.3936360116242	-12472.622993150973	8.000308342922297	0.20359788092301107	0.24459926174155439	0.24131572251520705	0.26094511333363674	0.2531399024096018	-21.23153736609298	0.23409272155288421	3.5376339522326523	8.000308342922297	315648.1171534394
16	-12472.607806607622	-12489.895782244705	-12472.607806607622	-17.287975637082894	-12472.607806607622	8.000308342922297	0.1645729426920161	0.24459926174155439	0.24177281875056447	0.26094511333363674	0.2526828061742444	-18.97123540763261	0.2849749614592905	3.5376339522326523	8.000308342922297	1592518.6806805576
17	-12472.606197501034	-12489.73763867852	-12472.606197501034	-17.131441177486156	-12472.606197501034	8.000308342922297	0.15422051038760246	0.24459926174155439	0.24191278509938505	0.26094511333363674	0.2525428398254238	-18.761710584042515	0.24587019270695687	3.5376339522326523	8.000308342922297	9.565360684555919E8
18	-12472.606197501034	-12489.73763867852	-12472.606197501034	-17.131441177486156	-12472.606197501034	8.000308342922297	0.15422051038760246	0.24459926174155439	0.24191278509938505	0.26094511333363674	0.2525428398254238	-18.761710584042515	0.24587019270695687	3.5376339522326523	8.000308342922297	9.565360684555919E8
19	-12472.606197501034	-12489.73763867852	-12472.606197501034	-17.131441177486156	-12472.606197501034	8.000308342922297	0.15422051038760246	0.24459926174155439	0.24191278509938505	0.26094511333363674	0.2525428398254238	-18.761710584042515	0.24587019270695687	3.5376339522326523	8.000308342922297	9.565360684555919E8
